Close	Date	Sentiment_fin_V	Sentiment_fin_F2	Open
2927.25	2019-04-24	0.03947368421	-0.06578947368	2934
2926.169922	2019-04-25	-0.02083333333	-0.08333333333	2928.98999
2939.879883	2019-04-26	0.07692307692	-0.1153846154	2925.810059
2943.030029	2019-04-29	-0.01945003353	-0.1805499665	2940.580078
2945.830078	2019-04-30	0.1363636364	0.01136363636	2937.139893
2923.72998	2019-05-01	0.1506849315	0.05479452055	2952.330078
2917.52002	2019-05-02	-0.08988764045	-0.07865168539	2922.159912
2945.639893	2019-05-03	0.1333333333	-0.1	2929.209961
2932.469971	2019-05-06	-0.1368487131	-0.2314291693	2908.889893
2884.050049	2019-05-07	0.02564102564	-0.1025641026	2913.030029
2879.419922	2019-05-08	0	-0.1	2879.610107
2870.719971	2019-05-09	0.1621621622	-0.1621621622	2859.840088
2881.399902	2019-05-10	0.08737864078	-0.05825242718	2863.100098
2811.870117	2019-05-13	-0.1029411765	-0.1581232493	2840.189941
2834.409912	2019-05-14	-0.03614457831	-0.1927710843	2820.120117
2850.959961	2019-05-15	-0.0125	-0.1125	2820.379883
2876.320068	2019-05-16	-0.04301075269	-0.1505376344	2855.800049
2859.530029	2019-05-17	-0.2025316456	-0.3037974684	2858.600098
2840.22998	2019-05-20	-0.04282407407	-0.1059027778	2841.939941
2864.360107	2019-05-21	-0.2435897436	-0.1666666667	2854.02002
2856.27002	2019-05-22	-0.05063291139	-0.1392405063	2856.060059
2822.23999	2019-05-23	-0.1515151515	-0.1717171717	2836.699951
2826.060059	2019-05-24	-0.03333333333	-0.1666666667	2832.409912
2802.389893	2019-05-28	0.02442307692	-0.0674071618	2830.030029
2783.02002	2019-05-29	-0.1060606061	-0.1515151515	2790.25
2788.860107	2019-05-30	-0.1470588235	-0.1764705882	2786.939941
2752.060059	2019-05-31	-0.1739130435	-0.1884057971	2766.149902
2744.449951	2019-06-03	-0.026142488	-0.1053229974	2751.530029
2803.27002	2019-06-04	0.03529411765	-0.1882352941	2762.639893
2826.149902	2019-06-05	0	-0.1212121212	2818.090088
2843.48999	2019-06-06	-0.0375	-0.0875	2828.51001
2873.340088	2019-06-07	-0.12	-0.24	2852.870117
2886.72998	2019-06-10	0.04109589041	-0.06443429731	2885.830078
2885.719971	2019-06-11	0.04411764706	-0.07352941176	2903.27002
2879.840088	2019-06-12	-0.125	-0.075	2882.72998
2891.639893	2019-06-13	-0.1369863014	-0.01369863014	2886.23999
2886.97998	2019-06-14	-0.07575757576	-0.1363636364	2886.820068
2889.669922	2019-06-17	-0.117816092	-0.2790029404	2889.75
2917.75	2019-06-18	-0.0306122449	-0.0612244898	2906.709961
2926.459961	2019-06-19	0.02040816327	-0.02040816327	2920.550049
2954.179932	2019-06-20	-0.1016949153	-0.05084745763	2949.600098
2950.459961	2019-06-21	-0.196969697	-0.1060606061	2952.709961
2945.350098	2019-06-24	0.03165784832	-0.09012345679	2951.419922
2917.379883	2019-06-25	-0.04918032787	-0.09836065574	2945.780029
2913.780029	2019-06-26	-0.1585365854	-0.2073170732	2926.070068
2924.919922	2019-06-27	-0.1267605634	-0.07042253521	2919.659912
2941.76001	2019-06-28	0.1206896552	0.03448275862	2932.939941
2964.330078	2019-07-01	0.05849358974	-0.09668803419	2971.409912
2973.01001	2019-07-02	0.05970149254	-0.08955223881	2964.659912
2995.820068	2019-07-03	-0.1063829787	-0.06382978723	2978.080078
2990.409912	2019-07-05	-0.03480392157	-0.09901960784	2984.25
2975.949951	2019-07-08	-0.1206896552	0.07816091954	2979.77002
2979.629883	2019-07-09	-0.0447761194	-0.1641791045	2965.52002
2993.070068	2019-07-10	-0.02985074627	-0.08955223881	2989.300049
2999.909912	2019-07-11	0.03174603175	-0.03174603175	2999.620117
3013.77002	2019-07-12	0.0243902439	-0.1219512195	3003.360107
3014.300049	2019-07-15	0.01038961039	-0.1347402597	3017.800049
3004.040039	2019-07-16	0.05128205128	-0.05128205128	3012.129883
2984.419922	2019-07-17	-0.03703703704	-0.2037037037	3005.100098
2995.110107	2019-07-18	0.05714285714	-0.05714285714	2978.870117
2976.610107	2019-07-19	-0.03571428571	-0.1964285714	3004.26001
2985.030029	2019-07-22	-0.04885057471	-0.07183908046	2981.929932
3005.469971	2019-07-23	0.1323529412	0.02941176471	2994.73999
3019.560059	2019-07-24	0	-0.1285714286	2998.77002
3003.669922	2019-07-25	0.01075268817	-0.1397849462	3016.26001
3025.860107	2019-07-26	0.3076923077	-0.05128205128	3013.25
3020.969971	2019-07-29	-0.05921596579	-0.01582323592	3024.469971
